Genus_&_Specie,Time_(Ma),Location,Zone,Current_Country,Habitat,Cranial_Capacity_(cm³),Height_(cm),Incisor_Size,Jaw_Shape,Torus_Supraorbital,Prognathism,Foramen_Mágnum_Position,Canine Size,Canines_Shape,Tooth_Enamel,Tecno,Tecno_type,biped,Arms,Foots,Diet,Sexual_Dimorphism,Hip,Vertical_Front,Anatomy,Migrated,Skeleton,Cranial_Capacity_normalized,Height_normalized,Time_years,full_address,Latitude,Longitude
hominino Sahelanthropus tchadensis,6.85934305,Africa,central,Republic of Chad,mixed,31.92543,99.02264,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.022041898485227262,0.5353111893111444,6859343.05,Republic of Chad,15.6134137,19.0156172
Homo Ergaster,2.13422733,Africa,oriental,Kenya,savannah,810.55355,160.0319,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5596209374765063,0.8651240435189583,2134227.33,Kenya,1.4419683,38.4313975
Homo Heidelbergensis,0.45297674,Europa,central,Germany,cold forest,1264.27316,169.5504,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8728772220238689,0.9165805544285657,452976.74,Germany,51.1638175,10.4478313
hominino Ardipithecus ramidus / kabadda,4.1716635,Africa,oriental,Ethiopia,mixed,212.02407,111.0365,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.14638528055423902,0.6002574852775778,4171663.5,Ethiopia,10.2116702,38.6521203
Homo Heidelbergensis,1.10647364,Europa,central,Germany,cold forest,1326.82554,171.40313,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9160645247467879,0.9265963154683889,1106473.64,Germany,51.1638175,10.4478313
Paranthropus Aethiopicus,2.64977836,Africa,oriental,Kenya,forest-savanna,487.59237,108.99951,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3366426551407881,0.5892456243585505,2649778.36,Kenya,1.4419683,38.4313975
Australopithecus Garhi,3.08787082,Africa,oriental,Ethiopia,mixed,354.29214,124.01096,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2446097479029703,0.6703967343752576,3087870.82,Ethiopia,10.2116702,38.6521203
Homo Sapiens,0.2793443,Africa,oriental,Kenya,savannah,1175.82797,164.67407,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8118130515651895,0.8902193706450026,279344.3,Kenya,1.4419683,38.4313975
Paranthropus Robustus,1.77825956,Africa,south,South Africa,jungle,371.99842,113.10046,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.25683448618561866,0.6114151445996342,1778259.56,South Africa,-28.8166236,24.991639
Homo Erectus,1.06712977,Asia ,west,Indonesia,savannah,1183.89614,156.01823,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.8173834631180348,0.8434263543722897,1067129.77,Indonesia,-2.4833826,117.8902853
Homo Georgicus,2.03795973,Asia ,west,Georgia,savannah,786.54668,153.47247,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5430461570745494,0.8296641095634183,2037959.7299999997,Georgia,32.3293809,-83.1137366
Australopithecus Anamensis,4.06597581,Africa,oriental,Kenya,forest-gallery,224.17214,113.24928,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.15477252939415864,0.6122196577008127,4065975.8100000005,Kenya,1.4419683,38.4313975
Homo Erectus,1.31026463,Asia ,west,Indonesia,savannah,1168.65927,150.88748,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.8068636504867687,0.8156897894356435,1310264.6300000001,Indonesia,-2.4833826,117.8902853
Australopithecus Anamensis,4.13957008,Africa,oriental,Kenya,forest-gallery,370.15762,124.05123,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.25556356433016963,0.670614431879521,4139570.0800000005,Kenya,1.4419683,38.4313975
Paranthropus Robustus,1.63703048,Africa,south,South Africa,jungle,534.07747,126.92388,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3687368150401422,0.68614382685399,1637030.48,South Africa,-28.8166236,24.991639
Homo Sapiens,0.01040819,Africa,oriental,Kenya,savannah,1248.0367,174.09502,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8616672742462054,0.9411485313797682,10408.189999999999,Kenya,1.4419683,38.4313975
Homo Antecesor,0.74748443,Europa,west,Spain,savannah,978.75359,176.87034,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6757493093384097,0.9561517654878368,747484.4299999999,Spain,39.3260685,-4.8379791
Homo Sapiens,0.42056893,Africa,oriental,Kenya,savannah,1205.45677,177.75775,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8322693148587176,0.9609490573243965,420568.93,Kenya,1.4419683,38.4313975
Australopithecus Garhi,2.42185324,Africa,oriental,Ethiopia,mixed,263.26723,122.73127,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.18176449175929585,0.663478797468611,2421853.2399999998,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,1.60320414,Africa,south,South Africa,mixed,286.15229,117.25088,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.19756475410026778,0.6338520970616243,1603204.1400000001,South Africa,-28.8166236,24.991639
Homo Sapiens,0.84628325,Africa,oriental,Kenya,savannah,1262.38571,173.87025,very small,modern,flat,absent,modern,small,incisiform,very thin,yes,mode 4,modern,manipulate with precision,walk,carnivorous,reduced,very modern,modern,very modern,yes,refined,0.8715740921585564,0.93993343656891,846283.25,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.19354927,Africa,oriental,Ethiopia,forest,601.30984,118.37363,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4151552681184951,0.6399216245737073,2193549.27,Ethiopia,10.2116702,38.6521203
Homo Erectus,1.05723422,Asia ,west,Indonesia,savannah,904.08773,153.85356,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.624198639341727,0.831724262081414,1057234.22,Indonesia,-2.4833826,117.8902853
Homo Georgicus,2.48996857,Asia ,west,Georgia,savannah,577.83283,155.67457,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.398946312713457,0.8415685464677674,2489968.57,Georgia,32.3293809,-83.1137366
Homo Rodhesiensis,0.37643495,Africa,oriental,Ethiopia,savannah,1091.25611,149.26665,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.7534230987023196,0.8069276676120768,376434.95,Ethiopia,10.2116702,38.6521203
"Homo Neanderthalensis
",0.03057431,Europa,central,Germany,cold forest,982.86233,163.63515,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.6785860582868872,0.8846030237085936,30574.31,Germany,51.1638175,10.4478313
Homo Heidelbergensis,0.28986456,Europa,central,Germany,cold forest,1310.79223,170.63269,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.904994835430084,0.9224313573063677,289864.56,Germany,51.1638175,10.4478313
Homo Floresiensis,0.67957259,Asia ,oriental,Indonesia,peninsular,206.9508,91.53601,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.14288260252208254,0.4948388608695629,679572.5900000001,Indonesia,-2.4833826,117.8902853
hominino Ardipithecus ramidus / kabadda,4.23731998,Africa,oriental,Ethiopia,mixed,239.32901,112.48591,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.16523710856799548,0.6080929195873425,4237319.9799999995,Ethiopia,10.2116702,38.6521203
Paranthropus Boisei,2.78599696,Africa,oriental,Ethiopia,forest,494.1085,102.86938,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.34114151000277565,0.5561064636481118,2785996.96,Ethiopia,10.2116702,38.6521203
Homo Georgicus,2.27457055,Asia ,west,Georgia,savannah,782.22018,143.21505,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5400590626549493,0.7742130359557674,2274570.55,Georgia,32.3293809,-83.1137366
Homo Habilis,2.90955008,Africa,oriental,Ethiopia,savannah,742.65557,133.79878,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5127429351281593,0.7233091750551204,2909550.0799999996,Ethiopia,10.2116702,38.6521203
Homo Naledi,0.08135423,Africa,south,South Africa,jungle,483.16161,123.73711,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.3335835777177931,0.668916315663003,81354.23,South Africa,-28.8166236,24.991639
Paranthropus Boisei,2.76492792,Africa,oriental,Ethiopia,forest,493.84515,103.3947,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3409596883651005,0.558946315968439,2764927.92,Ethiopia,10.2116702,38.6521203
Australopithecus Afarensis,3.84136808,Africa,oriental,Kenya,mixed,477.61626,132.1574,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,walk,dry fruits,high,slim,no,old,no,refined,0.32975496705334617,0.7144359610112258,3841368.08,Kenya,1.4419683,38.4313975
Homo Rudolfensis,3.03678766,Africa,oriental,Kenya,savannah,765.72386,120.9646,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5286697027991908,0.6539282722673003,3036787.6599999997,Kenya,1.4419683,38.4313975
Australopithecus Bahrelghazali,3.37930034,Africa,central,Republic of Chad,mixed,307.38741,116.29948,small,U shape,very protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,climbing,dry fruits,high,slim,no,old,no,light,0.21222586780685274,0.6287088786470211,3379300.34,Republic of Chad,15.6134137,19.0156172
hominino Ardipithecus ramidus / kabadda,4.30880121,Africa,oriental,Ethiopia,mixed,432.95443,104.35979,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.2989196259780818,0.5641635418037864,4308801.21,Ethiopia,10.2116702,38.6521203
Homo Antecesor,1.45425761,Europa,west,Spain,savannah,927.09012,174.91553,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6400799084522012,0.9455841653311724,1454257.6099999999,Spain,39.3260685,-4.8379791
hominino Sahelanthropus tchadensis,7.4335689,Africa,central,Republic of Chad,mixed,53.60846,84.69892,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.0370122574157769,0.45787791154194113,7433568.9,Republic of Chad,15.6134137,19.0156172
Homo Ergaster,2.07117685,Africa,oriental,Kenya,savannah,992.2189,167.81066,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6850460046716319,0.9071756113923857,2071176.85,Kenya,1.4419683,38.4313975
Australopithecus Garhi,2.30804608,Africa,oriental,Ethiopia,mixed,405.3272,115.61817,big,U shape,very protruding,medium-high,anterior,big,conicalls,thick,likely,primitive,yes,climbing,walk,omnivore,high,slim,no,old,no,light,0.2798452830768891,0.6250257525822184,2308046.08,Ethiopia,10.2116702,38.6521203
Homo Erectus,1.00013074,Asia ,west,Indonesia,savannah,1060.80683,156.01876,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7324003610693962,0.8434292195244442,1000130.7399999999,Indonesia,-2.4833826,117.8902853
hominino Sahelanthropus tchadensis,7.02079831,Africa,central,Republic of Chad,mixed,207.49766,84.21287,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.1432601646287051,0.45525035077841586,7020798.31,Republic of Chad,15.6134137,19.0156172
Homo Heidelbergensis,1.01888687,Europa,central,Germany,cold forest,1311.66153,175.82957,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9055950159868754,0.9505254175486244,1018886.87,Germany,51.1638175,10.4478313
hominino Sahelanthropus tchadensis,6.83916471,Africa,central,Republic of Chad,mixed,0.07491,88.10722,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,5.171922870039258e-05,0.4763030022740118,6839164.71,Republic of Chad,15.6134137,19.0156172
"Homo Neanderthalensis
",0.26328882,Europa,central,Germany,cold forest,1006.67163,151.62478,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.6950244327615402,0.8196755944987997,263288.82,Germany,51.1638175,10.4478313
Homo Rodhesiensis,0.53537687,Africa,oriental,Ethiopia,savannah,1215.41906,158.62323,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.8391474613663885,0.8575088475087638,535376.87,Ethiopia,10.2116702,38.6521203
Australopithecus Anamensis,4.805242,Africa,oriental,Kenya,forest-gallery,378.37784,110.67223,big,U shape,very protruding,high,anterior,big,incisiform,thick,no,no,yes,climbing,climbing,dry fruits,high,wide,no,mixed,no,light,0.26123895397304164,0.5982882607958798,4805242.0,Kenya,1.4419683,38.4313975
Homo Habilis,3.12824575,Africa,oriental,Ethiopia,savannah,628.66853,128.48627,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.43404420611146194,0.694590025107923,3128245.75,Ethiopia,10.2116702,38.6521203
Australopithecus Sediba,2.44080653,Africa,south,South Africa,mixed,438.0097,107.6855,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.30240987648231665,0.582142155335035,2440806.5300000003,South Africa,-28.8166236,24.991639
Homo Erectus,1.68935441,Asia ,west,Indonesia,savannah,1104.47863,168.27988,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.7625521673964261,0.9097121900601385,1689354.41,Indonesia,-2.4833826,117.8902853
hominino Ardipithecus ramidus / kabadda,3.97691297,Africa,oriental,Ethiopia,mixed,407.05827,105.66697,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.2810404453412915,0.5712300882061419,3976912.9699999997,Ethiopia,10.2116702,38.6521203
Homo Floresiensis,0.15025982,Asia ,oriental,Indonesia,peninsular,194.08037,95.80631,small,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,yes,mode 1,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.13399662317830477,0.5179238783132039,150259.81999999998,Indonesia,-2.4833826,117.8902853
hominino Orrorin tugenencin,6.29935288,Africa,oriental,Kenya,forest,214.70568,122.72781,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.14823671295145247,0.6634600928903953,6299352.88,Kenya,1.4419683,38.4313975
Homo Ergaster,1.98886622,Africa,oriental,Kenya,savannah,892.64145,154.23463,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.616295919102924,0.8337843064804606,1988866.22,Kenya,1.4419683,38.4313975
Homo Naledi,0.00316634,Africa,south,South Africa,jungle,452.62858,120.24542,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.31250301755912346,0.6500404229721413,3166.34,South Africa,-28.8166236,24.991639
Homo Heidelbergensis,0.9552184,Europa,central,Germany,cold forest,1407.92216,167.45493,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9720551086021988,0.9052525537020063,955218.4,Germany,51.1638175,10.4478313
hominino Sahelanthropus tchadensis,7.42866386,Africa,central,Republic of Chad,mixed,256.10488,91.35397,small,conical,very protruding,high,posterior,small,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.17681947483655847,0.4938547621937227,7428663.86,Republic of Chad,15.6134137,19.0156172
"Homo Neanderthalensis
",0.1622675,Europa,central,Germany,cold forest,1216.78989,160.71057,big,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 3,modern,manipulate with precision,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8400939073719867,0.8687928978824633,162267.5,Germany,51.1638175,10.4478313
Paranthropus Aethiopicus,2.54661007,Africa,oriental,Kenya,forest-savanna,411.89687,113.96687,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.28438110293026125,0.6160989115395085,2546610.07,Kenya,1.4419683,38.4313975
Homo Naledi,0.14754756,Africa,south,South Africa,jungle,325.74195,138.981,big,U shape,little protruding,medium-high,modern,small,incisiform,medium-thin,no,no,modern,climbing,walk,omnivore,medium-high,wide,no,mixed,no,light,0.22489817660341532,0.7513239841075956,147547.56,South Africa,-28.8166236,24.991639
Paranthropus Aethiopicus,2.33667913,Africa,oriental,Kenya,forest-savanna,326.48595,100.93642,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.22541184775750814,0.545656983443475,2336679.13,Kenya,1.4419683,38.4313975
Homo Habilis,2.25614641,Africa,oriental,Ethiopia,savannah,888.34483,120.59145,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.6133294543796738,0.6519110429721466,2256146.41,Ethiopia,10.2116702,38.6521203
Homo Rodhesiensis,0.48086201,Africa,oriental,Ethiopia,savannah,1009.27669,140.62991,big,U shape,less protruding,medium-high,modern,big,incisiform,medium-thick,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,slim,yes,mixed,no,robust,0.696823013644176,0.7602379049358733,480862.01,Ethiopia,10.2116702,38.6521203
Paranthropus Robustus,2.33686514,Africa,south,South Africa,jungle,581.63284,120.89083,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.4015699088455325,0.6535294755230863,2336865.14,South Africa,-28.8166236,24.991639
Homo Heidelbergensis,0.92132171,Europa,central,Germany,cold forest,1234.88655,181.94644,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8525881711185258,0.9835928953957275,921321.71,Germany,51.1638175,10.4478313
hominino Orrorin tugenencin,6.14360447,Africa,oriental,Kenya,forest,162.07179,122.53567,small,conical,very protruding,high,posterior,big,conicalls,thick,no,no,low probability,climbing,climbing,dry fruits,high,wide,no,old,no,light,0.1118973164182619,0.6624213941451967,6143604.47,Kenya,1.4419683,38.4313975
Homo Antecesor,1.49651408,Europa,west,Spain,savannah,955.31705,167.30862,medium large,U shape,little protruding,medium,modern,big,incisiform,medium-thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,mixed,yes,light,0.6595682951586487,0.9044616095289555,1496514.08,Spain,39.3260685,-4.8379791
Homo Georgicus,1.79154328,Asia ,west,Georgia,savannah,779.2394,159.29809,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5380010778394966,0.8611571052124416,1791543.28,Georgia,32.3293809,-83.1137366
Australopithecus Sediba,2.52623071,Africa,south,South Africa,mixed,527.28344,115.52036,small,U shape,very protruding,medium-high,anterior,small,conicalls,medium-thin,no,no,yes,climbing,walk,soft fruits,high,slim,no,old,no,light,0.3640460929554095,0.6244969968610367,2526230.71,South Africa,-28.8166236,24.991639
Homo Heidelbergensis,0.3111397,Europa,central,Germany,cold forest,1420.31074,166.9539,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.9806084099276974,0.9025440118455121,311139.7,Germany,51.1638175,10.4478313
Homo Rudolfensis,3.03249602,Africa,oriental,Kenya,savannah,543.23882,125.38522,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.3750619779803951,0.6778259117333116,3032496.02,Kenya,1.4419683,38.4313975
Homo Georgicus,1.6231934,Asia ,west,Georgia,savannah,699.37212,148.42932,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4828592527160379,0.8024011056243747,1623193.4,Georgia,32.3293809,-83.1137366
hominino Ardipithecus ramidus / kabadda,3.95229606,Africa,oriental,Ethiopia,mixed,253.38779,109.36937,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.17494354640097512,0.5912450680865569,3952296.06,Ethiopia,10.2116702,38.6521203
Homo Rudolfensis,2.73990982,Africa,oriental,Kenya,savannah,739.52787,125.40564,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.5105835140681376,0.6779363011804698,2739909.82,Kenya,1.4419683,38.4313975
Homo Habilis,2.39968234,Africa,oriental,Ethiopia,savannah,823.09103,139.6886,small,U shape,little protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,yes,modern,yes,robust,0.5682770420746455,0.7551492325311538,2399682.34,Ethiopia,10.2116702,38.6521203
hominino Ardipithecus ramidus / kabadda,4.0488563,Africa,oriental,Ethiopia,mixed,191.39915,109.10275,small,conical,very protruding,high,semi-anterior,small,conicalls,thick-medium,no,no,high probability,climbing,climbing,soft fruits,medium-high,wide,no,old,no,light,0.13214546004419628,0.5898037343744468,4048856.3,Ethiopia,10.2116702,38.6521203
Homo Ergaster,1.4245682,Africa,oriental,Kenya,savannah,739.4062,163.63522,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.5104995108835698,0.8846034021249158,1424568.2,Kenya,1.4419683,38.4313975
Homo Ergaster,1.30219061,Africa,oriental,Kenya,savannah,722.36793,164.77058,very small,modern,very protruding,reduced,modern,small,incisiform,medium-thin,yes,mode 2,modern,manipulate with precision,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.49873597887463855,0.8907410986344847,1302190.61,Kenya,1.4419683,38.4313975
Homo Rudolfensis,2.56181993,Africa,oriental,Kenya,savannah,679.54956,125.26686,small,U shape,less protruding,medium-high,anterior,big,conicalls,thick,no,no,yes,climbing,walk,hard fruits,high,slim,no,mixed,no,refined,0.4691733961672827,0.6771860637918018,2561819.93,Kenya,1.4419683,38.4313975
Paranthropus Aethiopicus,2.34034496,Africa,oriental,Kenya,forest-savanna,330.46338,103.84121,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.22815793788979757,0.5613601255693477,2340344.96,Kenya,1.4419683,38.4313975
Homo Erectus,1.53292855,Asia ,west,Indonesia,savannah,944.45666,166.03769,very small,modern,little protruding,reduced,modern,small,incisiform,thick,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.6520700840495116,0.8975910287220692,1532928.55,Indonesia,-2.4833826,117.8902853
Homo Georgicus,2.24585287,Asia ,west,Georgia,savannah,714.425,145.05445,medium large,U shape,very protruding,medium,anterior,small,incisiform,medium-thin,yes,mode 1,modern,manipulate,walk,omnivore,medium-high,modern,modern,modern,yes,robust,0.4932520352993988,0.7841567357159326,2245852.8699999996,Georgia,32.3293809,-83.1137366
Homo Heidelbergensis,0.75728103,Europa,central,Germany,cold forest,1287.41325,179.64717,small,modern,little protruding,reduced,modern,small,incisiform,thin,yes,mode 2,modern,manipulate,walk,carnivorous,medium-high,very modern,modern,very modern,no,robust,0.8888535617229434,0.9711631625765719,757281.03,Germany,51.1638175,10.4478313
Paranthropus Aethiopicus,2.35830949,Africa,oriental,Kenya,forest-savanna,486.38525,113.53386,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.3358092375016369,0.6137580822293263,2358309.4899999998,Kenya,1.4419683,38.4313975
Paranthropus Boisei,2.12740813,Africa,oriental,Ethiopia,forest,397.84643,113.88779,megadony,V shape,ultra protruding,very high,semi-anterior,big,conicalls,very thick,no,no,yes,climbing,climbing,hard fruits,high,wide,no,old,no,robust,0.2746804231852186,0.6156714092142752,2127408.13,Ethiopia,10.2116702,38.6521203
